50.0kg,53,54,55,56,58,59,60,61,63
52.5kg,55,56,58,59,60,62,63,64,66
55.0kg,58,59,61,62,63,65,66,67,69
57.5kg,60,62,63,65,66,68,69,70,72
60.0kg,63,65,66,68,69,71,72,74,75
62.5kg,66,67,69,70,72,73,75,77,78
65.0kg,68,70,72,73,75,76,78,80,81
